[2024-04-28 16:58:25.840522][INFO],sample=29,count=1
[2024-04-28 16:59:51.845586][INFO],sample=6404,count=2
[2024-04-28 17:00:36.3875][INFO],sample=9719,count=3
[2024-04-28 17:00:36.203508][INFO],sample=9734,count=4
[2024-04-28 17:00:37.598751][INFO],sample=9839,count=5
[2024-04-28 17:01:32.925770][INFO],sample=13994,count=6
[2024-04-28 17:01:46.478741][INFO],sample=15014,count=7
[2024-04-28 17:01:46.679391][INFO],sample=15029,count=8
[2024-04-28 17:01:47.479670][INFO],sample=15089,count=9
[2024-04-28 17:01:47.680057][INFO],sample=15104,count=10
[2024-04-28 17:01:50.871757][INFO],sample=15344,count=11
[2024-04-28 17:02:36.390726][INFO],sample=18764,count=12
[2024-04-28 17:02:46.600778][INFO],sample=19529,count=13
[2024-04-28 17:02:46.800188][INFO],sample=19544,count=14
[2024-04-28 17:02:47.198373][INFO],sample=19574,count=15
[2024-04-28 17:02:48.991301][INFO],sample=19709,count=16
[2024-04-28 17:02:51.582068][INFO],sample=19904,count=17
[2024-04-28 17:02:51.981545][INFO],sample=19934,count=18
[2024-04-28 17:03:51.104293][INFO],sample=24374,count=19
[2024-04-28 17:04:04.466719][INFO],sample=25379,count=20
[2024-04-28 17:04:04.667057][INFO],sample=25394,count=21
[2024-04-28 17:04:40.402385][INFO],sample=28079,count=22
[2024-04-28 17:05:13.900438][INFO],sample=30599,count=23
[2024-04-28 17:05:18.87196][INFO],sample=30914,count=24
[2024-04-28 17:05:21.489098][INFO],sample=31169,count=25
[2024-04-28 17:05:22.286663][INFO],sample=31229,count=26
[2024-04-28 17:05:29.880403][INFO],sample=31799,count=27
[2024-04-28 17:07:00.928324][INFO],sample=38639,count=28
[2024-04-28 17:07:01.128626][INFO],sample=38654,count=29
[2024-04-28 17:07:01.529014][INFO],sample=38684,count=30
[2024-04-28 17:07:01.729436][INFO],sample=38699,count=31
[2024-04-28 17:07:01.929526][INFO],sample=38714,count=32
[2024-04-28 17:07:02.129719][INFO],sample=38729,count=33
[2024-04-28 17:07:08.327340][INFO],sample=39194,count=34
[2024-04-28 17:07:08.526852][INFO],sample=39209,count=35
[2024-04-28 17:07:08.726409][INFO],sample=39224,count=36
